time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,-0.229122,0.641691,0.27721,2.031168,0.546061,-0.721954,1.413979,0.9025549999999999,0.48195699999999997,0.440503,0.648357,0.130146,1.572076,0.557473,1.3815540000000002,1.423223,0.23231300000000002,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.092659678188726
0.041667,2,0.041667,-0.672204,0.345901,0.848231,1.614276,0.875858,0.597057,1.185298,0.42971099999999995,0.898437,0.692988,1.044543,-0.291031,1.674711,0.350304,1.956443,1.341803,0.15871,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.09232063361788677
0.083333,3,0.041667,-1.453426,0.5376479999999999,0.076908,1.747802,1.321366,-6.9e-05,1.149238,-0.025247,0.330069,0.453743,0.708928,-0.217061,1.8687630000000002,0.21654600000000002,2.360366,1.242475,0.656085,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.09198159718405215
0.125,4,0.041667,-1.0715459999999999,0.49035,0.490762,2.031015,1.2783930000000001,0.909782,1.277454,0.870725,0.15892699999999998,0.457374,0.45608699999999996,-0.302771,1.761986,0.24881599999999998,2.135773,1.427952,0.326571,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09164255261321291
0.166667,5,0.041667,-1.182792,0.319961,0.41493599999999997,1.920527,1.309231,0.456524,1.335386,0.6791010000000001,0.243221,0.656539,0.305164,-0.117154,1.7002869999999999,0.25752800000000003,2.3623979999999998,1.412323,0.244311,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09130350804237368
0.208333,6,0.041667,-1.15039,0.489041,0.369336,1.590539,1.062214,0.302092,0.909926,0.409246,0.239972,0.6346,0.487375,0.021311,1.970468,0.326355,2.257813,1.312574,0.162262,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09096447160853906
0.25,7,0.041667,-0.795589,0.383399,0.48716499999999996,1.712477,1.164415,0.6697489999999999,1.331974,0.774679,0.271669,0.684291,0.998442,-0.34492,1.8098599999999998,0.38711999999999996,2.144764,1.277719,0.178057,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09062542703769982
0.291667,8,0.041667,-0.9620850000000001,0.445114,0.288709,1.736652,1.046246,0.454701,1.242574,0.776746,0.273346,0.680876,0.346634,-0.328284,1.614455,0.253123,2.436009,1.176688,0.42811899999999997,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0902863824668606
0.333333,9,0.041667,-0.8524010000000001,0.44478999999999996,-0.092112,2.149304,1.2287350000000001,0.337854,1.28587,1.132392,0.304806,0.32349,2.294844,0.23124099999999997,1.7306529999999998,0.072366,2.9715599999999998,1.1125610000000001,0.23471,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08994734603302597
0.375,10,0.041667,-1.428812,0.262182,0.29581,1.664469,1.1659959999999998,0.318123,0.94988,-0.325756,0.511491,0.6465350000000001,0.479662,0.147842,2.075956,0.165122,1.7996779999999999,1.40563,0.19331900000000002,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08960830146218675
0.416667,11,0.041667,-1.180612,0.52158,-0.11741700000000001,1.71187,1.2364620000000002,0.328964,1.142562,0.197413,0.26098899999999997,0.63313,0.523718,-0.25104299999999996,1.555025,0.289619,2.001272,0.891717,0.090809,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08926925689134751
0.458333,12,0.041667,-0.976707,0.526595,0.194472,1.8234849999999998,1.215614,0.31652399999999997,0.9605520000000001,0.400017,0.567016,0.559407,0.387154,-0.32036,1.4495129999999998,0.272924,1.9173220000000002,0.7496550000000001,0.687278,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08893022045751289
0.5,13,0.041667,-1.04203,0.46436700000000003,0.101543,1.620347,1.148726,0.175203,1.085674,0.275516,0.510105,0.706332,0.241164,-0.446758,1.073661,0.17143699999999998,1.772075,1.3890200000000001,0.539886,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08859117588667366
0.541667,14,0.041667,-1.436987,0.38725,-0.026487,1.456368,1.0907959999999999,0.030781,1.106718,0.5887,0.583086,0.450863,0.174027,-0.111819,0.8163130000000001,0.262706,1.772547,1.467298,0.809559,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08825213131583443
0.583333,15,0.041667,-1.296189,0.29604600000000003,-0.325588,1.711541,1.101595,0.177706,1.200709,0.50233,0.730985,0.324811,0.165577,-0.352377,0.7843720000000001,0.278188,1.822907,1.283678,1.081115,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0879130948819998
0.625,16,0.041667,-1.068359,0.313433,-0.203248,1.649661,1.119394,0.092142,1.2140879999999998,0.599857,0.8791979999999999,0.498841,0.294758,-0.251585,1.234121,0.187047,1.557662,1.011701,0.770999,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08757405031116057
0.666667,17,0.041667,-0.9908870000000001,0.500942,0.23548000000000002,1.8162470000000002,1.216958,0.06575800000000001,1.423354,0.6369199999999999,0.644583,0.887367,0.339927,-0.337887,1.322906,0.06769800000000001,1.373089,1.373332,0.8351940000000001,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08723500574032134
0.708333,18,0.041667,-1.026082,0.49435200000000007,-0.15709700000000001,1.657244,1.046325,0.171416,1.098596,0.288401,0.829026,0.536687,0.341147,-0.48509399999999997,1.002535,0.343065,1.78033,1.476602,0.8620540000000001,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08689596930648671
0.75,19,0.041667,-0.956533,0.685379,0.196375,1.753685,1.1341379999999999,0.174637,1.091408,0.603182,0.8734379999999999,0.864967,0.095282,-0.39609,0.630229,0.270548,1.636488,1.474308,0.837968,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08655692473564748
0.791667,20,0.041667,-1.280405,0.507059,-0.013515000000000001,1.6773630000000002,0.903365,0.492741,1.184544,0.660673,1.05964,0.529824,0.001609,-0.061973,1.0363719999999998,0.316176,1.52662,1.6884849999999998,0.8410690000000001,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08621788016480826
0.833333,21,0.041667,-0.992099,0.604819,0.13601300000000002,1.801816,1.168208,0.15097,1.349027,0.954357,1.199533,0.44006300000000004,0.23485799999999998,-0.40582399999999996,0.653472,0.10616300000000001,1.413974,1.173298,0.8476950000000001,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08587884373097363
0.875,22,0.041667,-1.1331799999999999,0.686546,0.02283,1.571182,0.923717,0.032687,1.159683,0.6379319999999999,0.58129,0.5531050000000001,0.485171,-0.66603,0.713117,0.066317,1.483784,1.077623,0.48786599999999997,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0855397991601344
0.916667,23,0.041667,-1.2639,0.726252,-0.251206,1.57619,1.023549,-0.038035,1.0274459999999999,0.47331599999999996,1.211296,0.54206,0.353408,-0.647422,0.736321,0.11676500000000001,1.4482540000000002,1.038632,0.337456,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08520075458929517
0.958333,24,0.041667,-1.200864,0.47655600000000004,-0.604548,1.6725599999999998,0.982402,-0.298769,0.992866,0.6450640000000001,0.9553809999999999,0.507142,0.552929,-0.430354,0.293017,0.189582,1.426775,0.9560209999999999,0.43763199999999997,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08486171815546054
1.0,25,0.041667,-0.842192,0.46943500000000005,-0.043107,1.361582,1.073018,-0.098554,0.798235,0.368752,1.239053,0.75234,-0.074129,-0.306313,0.656827,0.26839,1.811145,1.096467,0.46307299999999996,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08452267358462132
1.041667,26,0.041667,-0.9562950000000001,0.5039359999999999,-0.100695,1.458222,1.1200860000000001,0.035525,0.87654,0.368659,1.214353,0.714785,-0.102113,-0.429379,0.693789,0.30399299999999996,1.7992540000000001,1.075474,0.419311,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08418362901378208
1.083333,27,0.041667,-1.181371,0.640308,-0.014461000000000002,1.450876,1.180972,0.16667300000000002,0.679532,0.347406,1.205698,0.651371,0.221834,-0.207761,0.7617189999999999,0.248766,1.4907030000000001,1.117844,0.289729,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08384459257994746
