time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,-0.757955,-0.535725,-0.168715,-0.6378550000000001,-0.146014,-0.17055,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971680736592232
0.04,2,0.04,-0.7124159999999999,-0.628474,-0.237604,-0.45222399999999996,-0.003933,-0.280654,0.32406399999999996,0.659035,-0.12285,0.459309,0.442838,0.41754300000000005,0.45130299999999995,0.46925,0.67407,0.449771,0.481067,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09749600349909507
0.08,3,0.04,-0.778745,-0.625692,-0.152955,-0.43595500000000004,-0.001819,0.035914,0.213484,0.499496,0.128339,0.558686,0.204625,0.42926899999999996,1.069808,0.704915,0.910684,0.959641,0.30130999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09782393333896694
0.12,4,0.04,-1.0337,-0.509317,-0.625315,-0.384446,0.25714499999999996,0.44611300000000004,0.055722,0.224342,0.161004,0.636393,0.171112,0.521497,0.746938,0.752247,0.5509350000000001,0.50145,0.48555699999999996,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09815186317883881
0.16,5,0.04,-0.729595,-0.424393,-0.433392,0.08267999999999999,0.180538,-0.018474,0.32673800000000003,0.312212,0.350956,0.558398,0.309218,0.48573299999999997,0.439855,0.5946899999999999,0.666998,0.564719,0.697222,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09847979301871068
0.2,6,0.04,-0.640753,-0.365769,-0.574334,-0.25299499999999997,0.30683699999999997,0.012581,0.379006,0.329111,0.6423,0.615819,0.373067,0.40899800000000003,0.7017770000000001,0.295288,0.626834,0.635634,0.876508,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09880772285858255
0.24,7,0.04,-0.62641,-0.173583,0.090508,-0.327421,0.388587,-0.08412,0.213446,0.4941,0.155654,0.521572,0.001201,0.542512,0.474313,0.5996020000000001,0.557596,0.6964100000000001,0.408103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09913565269845442
0.28,8,0.04,-0.674189,-0.10315999999999999,0.12287100000000001,-0.011086,0.197641,-0.072398,0.339262,0.661617,0.38504499999999997,0.5962689999999999,0.035431,0.466375,0.149378,0.589278,0.398002,0.507467,0.709699,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994635825383263
0.32,9,0.04,-0.760103,-0.037689,0.040469,0.158123,0.24305,0.226894,0.466476,0.6883279999999999,0.6316390000000001,0.601074,0.20705,0.19987,0.938577,0.43570699999999996,0.8540530000000001,0.8948139999999999,0.842158,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09979151237819817
0.36,10,0.04,-0.7041350000000001,-0.095847,0.281132,-0.24984099999999998,0.274741,-0.11436900000000001,0.328412,0.558053,0.495565,0.5225890000000001,0.282941,0.229922,0.441126,0.672309,0.620734,0.263243,0.429648,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10011944221807004
