time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
13.08,1,0.0,-0.378884,-0.095814,-0.69338,-0.498408,-0.049389999999999996,-1.709717,0.44485,0.307108,1.231061,0.248575,-1.0487790000000001,0.491609,0.243896,1.077495,0.49312700000000004,-1.1782620000000001,1.0877620000000001,0.014671578905645334
0.0,2,0.04,-0.805763,0.077939,0.347298,-0.47903199999999996,-0.6040939999999999,-1.279867,0.361566,0.616334,0.751478,1.003091,0.26671300000000003,0.277296,0.8951709999999999,0.385173,0.550578,-0.66291,0.547024,-0.018466271849274657
0.04,3,0.04,-0.542542,-0.139254,0.49295900000000004,-0.501089,-0.602799,-1.630159,0.983251,0.925068,0.711753,0.44455200000000006,1.186782,2.790143,-0.255762,1.112787,-0.197428,2.1579669999999997,0.400231,-0.018364932856140347
0.08,4,0.04,-0.42631800000000003,-0.135496,0.8792139999999999,-0.642932,-0.46402600000000005,-2.198385,0.719325,0.49715600000000004,0.838778,-0.08376499999999999,1.281936,3.0478509999999996,0.387944,1.5271549999999998,-0.572439,3.487582,0.160064,-0.018263593863006033
0.12,5,0.04,-0.373657,-0.124598,0.8149109999999999,-0.036813,-0.7139909999999999,-1.9532450000000001,0.733579,0.961511,0.7039529999999999,-0.23061900000000002,1.298263,3.308987,1.648049,1.6893599999999998,-0.17896199999999998,3.5797480000000004,1.057973,-0.018162254869871722
0.16,6,0.04,-0.07611699999999999,-0.271264,1.007227,-0.428331,-0.778895,-2.2891169999999996,0.920121,1.1043120000000002,0.5984229999999999,-0.212969,1.623709,3.3624440000000004,2.112577,1.6966830000000002,-0.15071500000000002,3.1913650000000002,0.7199220000000001,-0.01806091587673741
0.2,7,0.04,-0.503722,-0.261044,0.94685,-0.637224,-0.827674,-2.198067,0.49992,0.379792,0.223566,-0.08881,1.7869279999999998,2.419333,1.236992,1.358732,0.345543,3.4681940000000004,0.7217439999999999,-0.0179595768836031
0.24,8,0.04,-0.718152,-0.276633,0.281627,-0.948626,-0.785863,-1.986286,0.49029399999999995,0.057183000000000005,0.308663,-0.049825,1.268505,1.768629,1.282167,1.037382,0.8154020000000001,2.162922,0.58192,-0.017858237890468785
0.28,9,0.04,-0.677342,-0.24494000000000002,-0.041755,-0.876099,-0.7391800000000001,-2.2597970000000003,0.546779,0.516975,0.079446,0.182862,1.1299780000000001,1.261725,0.7542979999999999,0.678968,1.050734,1.2308,0.270214,-0.017756898897334474
0.32,10,0.04,-0.554631,-0.2954,0.198292,-1.18821,-0.795299,-1.832214,0.413128,0.22419899999999998,-0.36848000000000003,0.547037,0.36938899999999997,0.468628,0.782163,0.30278,0.826209,-0.165939,0.190659,-0.01765555990420016
0.36,11,0.04,-0.45582700000000004,-0.27274899999999996,0.18881099999999998,-1.043763,-0.610064,-1.376364,0.152352,-0.11332300000000001,0.025144,0.401198,0.579681,0.36590900000000004,0.577277,0.184347,0.914277,-0.307811,0.16205999999999998,-0.01755422091106585
0.4,12,0.04,-0.34516199999999997,-0.198845,0.181859,-0.928736,-0.610895,-1.27052,0.55733,0.336752,0.017256,0.38200700000000004,0.9593209999999999,0.47605,0.953232,0.120122,1.104647,0.006894,0.073573,-0.01745288191793154
0.44,13,0.04,-0.428515,0.0019760000000000003,-0.120546,-0.8353719999999999,-0.506739,-1.450785,0.287986,0.570348,-0.066179,0.559688,0.6421279999999999,0.039192000000000005,0.723372,-0.067909,1.4463110000000001,-0.304779,0.321123,-0.017351542924797226
0.48,14,0.04,-0.5073979999999999,0.024273,-0.340494,-1.088425,-0.5500390000000001,-1.156708,0.13578800000000002,0.336068,-0.12237200000000001,0.614329,0.608114,0.243392,1.1461629999999998,-0.077057,0.9131969999999999,-0.719529,0.142533,-0.017250203931662916
0.52,15,0.04,-0.582889,0.110457,0.228805,-0.995292,-0.40067600000000003,-1.457301,0.081942,0.091593,-0.205614,0.795337,0.080848,-0.137241,0.83204,-0.070778,0.912186,-0.385392,0.5883609999999999,-0.017148864938528602
0.56,16,0.04,-0.334543,0.034095,0.101892,-1.123766,-0.576806,-1.3079690000000002,0.347224,0.6003310000000001,-0.205377,0.734008,0.37246399999999996,-0.079226,0.493622,0.013916999999999999,1.037891,-0.5543680000000001,0.03311,-0.01704752594539429
0.6,17,0.04,-0.5982810000000001,0.134345,-0.20885700000000001,-1.144182,-0.40066599999999997,-0.98906,0.309625,0.464358,0.009562000000000001,0.694867,0.210252,0.10343599999999999,0.607875,-0.027750999999999998,1.008533,-0.545628,0.066287,-0.016946186952259978
0.64,18,0.04,-0.563952,0.28313699999999997,-0.067563,-0.8919809999999999,-0.309564,-1.1308049999999998,0.245973,0.24512399999999998,0.067613,0.721247,0.393284,0.029169,0.5838949999999999,0.034959,1.0956270000000001,-0.556311,0.188878,-0.016844847959125667
0.68,19,0.04,-0.457975,0.47442,0.4401,-1.015197,-0.33019299999999996,-1.049345,0.22188000000000002,0.351677,-0.185444,0.878059,0.5575720000000001,0.146008,0.581047,0.066085,1.595748,-0.114576,0.297538,-0.016743508965991354
0.72,20,0.04,-0.46371599999999996,0.424309,0.276458,-1.03641,-0.319222,-0.9459049999999999,0.125843,0.226354,-0.34052899999999997,0.9211809999999999,0.45587799999999995,-0.093865,0.598567,0.076532,1.482961,-0.228888,0.198714,-0.016642169972857043
0.76,21,0.04,-0.6417579999999999,0.419462,0.055385000000000004,-0.838865,-0.183559,-0.921681,0.358004,0.897906,0.125486,0.7582,0.2948,0.15099500000000002,0.664758,0.055876999999999996,1.356776,-0.250711,0.407555,-0.01654083097972273
0.8,22,0.04,-0.57867,0.39334,-0.327864,-0.934867,-0.176945,-0.9236989999999999,0.272867,0.861901,0.333427,0.707188,0.349194,0.282104,0.911259,0.071019,1.3649639999999998,-0.225346,0.502131,-0.01643949198658842
0.84,23,0.04,-0.48539399999999994,0.170542,0.018237,-0.5904,-0.202755,-1.263124,0.20873200000000003,0.5831569999999999,-0.200998,0.494971,0.453841,0.617503,0.198297,0.274148,0.8150569999999999,0.27986500000000003,0.38853200000000004,-0.01633815299345411
0.88,24,0.04,-0.012239,0.353001,0.810481,0.09034099999999999,-0.271631,-1.1336620000000002,0.585912,0.9436110000000001,-0.091547,0.261859,0.938328,3.5517510000000003,0.519546,1.45338,-0.079617,2.803857,0.519291,-0.016236814000319795
0.92,25,0.04,-0.251398,0.200753,1.0786040000000001,-0.002681,-0.647436,-2.22412,0.491418,0.517081,0.012084000000000001,0.058249,1.133744,2.849561,1.063128,1.316533,0.372276,3.456034,0.21325,-0.016135475007185485
0.96,26,0.04,0.154871,0.354555,1.733312,0.5626899999999999,-0.41125600000000007,-1.411704,0.568592,0.733456,0.008482,0.33515,1.317282,3.4639269999999995,0.929675,1.301448,0.325273,3.6947959999999997,0.589226,-0.01603413601405117
1.0,27,0.04,-0.334097,0.302743,1.131178,0.294858,-0.407925,-0.99523,0.34398,0.68262,0.21746999999999997,0.437467,0.749704,2.751013,1.217876,1.232524,0.7657,3.468637,0.661122,-0.01593279702091686
1.04,28,0.04,-0.24835,0.329599,1.110252,0.42636499999999994,-0.423146,-1.173714,0.5351520000000001,0.822416,0.42098199999999997,0.121523,1.162117,2.839842,1.448504,1.2796889999999999,1.11579,3.438607,0.5601649999999999,-0.015831458027782547
1.08,29,0.04,-0.255707,0.34110999999999997,1.207676,0.190584,-0.43365200000000004,-1.318609,0.452837,0.75352,0.41370100000000004,0.008748,1.2912299999999999,2.9456,1.656482,1.337497,1.084659,3.8655690000000003,0.623976,-0.015730119034648236
1.12,30,0.04,-0.054171000000000004,0.298031,1.357208,0.587002,-0.46653500000000003,-1.881413,0.764163,0.762113,0.072976,0.14276,1.439924,3.042909,0.840759,1.374641,0.49594799999999994,3.6136769999999996,0.941629,-0.015628780041513923
1.16,31,0.04,-0.084303,0.48013199999999995,1.35595,0.46470500000000003,-0.397648,-1.195916,0.628958,0.971543,0.5865100000000001,0.17591400000000001,1.1049360000000001,3.065923,1.503066,1.16919,0.599247,3.0406310000000003,0.8892209999999999,-0.015527441048379612
1.2,32,0.04,0.123956,0.477817,0.761868,0.46518400000000004,-0.549998,-1.303808,0.91302,0.946356,0.036605,0.29636599999999996,1.228345,2.788079,1.549379,1.357133,0.784035,3.32542,0.505392,-0.0154261020552453
1.24,33,0.04,-0.344483,0.1142,0.528042,-0.019582,-0.606154,-0.849817,0.6696340000000001,0.603241,0.389892,0.206273,0.5741649999999999,2.982105,1.424655,1.08084,0.303,2.9998419999999997,0.549984,-0.015324763062110988
1.28,34,0.04,-0.506512,0.187813,0.03551,0.023606,-0.39522199999999996,-0.958882,0.7869550000000001,0.697659,0.22982600000000003,0.475662,0.868001,2.5599380000000003,1.071664,1.2177950000000002,0.739096,2.450329,0.5902189999999999,-0.015223424068976676
1.32,35,0.04,-0.277663,0.287706,0.340545,-0.19805999999999999,-0.6021810000000001,-0.785273,0.6390819999999999,0.433659,-0.323507,0.684054,0.8341959999999999,1.72039,0.538665,1.062534,0.523858,1.6164040000000002,0.168046,-0.015122085075842364
