time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,0.81206,0.09389,0.333027,0.439596,-0.043697,0.350252,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,-0.22598985700753427
0.04,2,0.04,0.539402,-0.00563,1.20228,0.5142180000000001,-0.136188,0.508933,0.781255,0.882152,0.159725,0.320984,0.304046,0.596396,1.205919,0.671211,0.603889,0.287111,0.09484,-0.22572767876092337
0.08,3,0.04,0.627875,0.440961,1.297662,0.49413100000000004,-0.11511199999999999,0.26045799999999997,1.090445,0.9945200000000001,0.693525,0.21203200000000003,0.223446,1.385165,0.14368399999999998,0.8443219999999999,0.41950200000000004,1.088638,0.13137100000000002,-0.22546550051431244
0.12,4,0.04,0.257527,0.223045,0.105947,0.037079,-0.33524699999999996,0.638169,1.6036860000000002,1.204917,-0.091749,-0.48397700000000005,1.402432,0.715874,1.0325030000000002,1.383226,1.6392419999999999,1.728304,1.258237,-0.22520332226770154
0.16,5,0.04,0.29414,0.423903,-0.49197700000000005,-0.023665000000000002,0.09274099999999999,1.25416,1.280186,0.984866,-0.362452,-0.323801,0.341967,0.620272,0.8433459999999999,0.8337180000000001,1.3651659999999999,1.869889,1.4172850000000001,-0.22494114402109064
0.2,6,0.04,0.403955,0.266007,-0.43160299999999996,-0.044795,0.20809,1.249606,1.277217,0.9632229999999999,-0.7021189999999999,-0.316015,1.1653870000000002,0.887415,1.155343,1.26673,1.133332,1.749695,1.164431,-0.2246789657744797
0.24,7,0.04,0.506296,0.605248,-1.509887,-0.01547,0.001714,1.11427,1.025406,0.8817879999999999,0.023191999999999997,0.328085,0.200015,0.747454,0.532497,1.188432,1.208801,0.508225,0.872518,-0.2244167875278688
0.28,8,0.04,0.5418569999999999,0.364508,-1.3212549999999998,0.14949500000000002,0.013465000000000001,0.916336,1.342941,0.534082,-0.153921,0.009746,0.48636999999999997,0.602252,1.096054,1.11785,1.015423,1.544642,0.45933500000000005,-0.22415460928125788
0.32,9,0.04,1.2845799999999998,-0.15428,-0.097991,-0.09197899999999999,-0.178243,0.7312960000000001,0.338848,0.538898,1.144701,0.381319,-1.3623020000000001,-0.986613,1.14445,0.751912,1.8768240000000003,2.157674,1.493731,-0.22389243103464698
0.36,10,0.04,0.394221,0.169737,0.408491,0.047813999999999995,-0.1848,0.338208,0.10700599999999999,-0.201908,1.0562639999999999,1.063273,1.183003,0.470067,0.9975809999999999,0.851068,-0.13381300000000002,-0.36889099999999997,-0.281301,-0.22363025278803608
