time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,Borg10_Value
0.0,1,0.0,-0.325923,-0.7912939999999999,-0.5956020000000001,-1.251671,-1.12,-1.139002,0.6879770000000001,0.506394,0.494284,1.229662,-0.124201,0.243673,-0.174591,0.176834,0.386352,-0.282001,0.621603,-0.0817064601034635
0.04,2,0.04,-0.39188,-0.8207709999999999,-0.57834,-1.3413680000000001,-1.074793,-1.1558469999999998,0.768189,0.5349109999999999,0.520379,1.106517,-0.13498800000000002,0.194078,-0.031844,0.433596,0.240718,-0.259356,0.521476,-0.0814659308305333
0.08,3,0.04,-0.395144,-0.773676,-0.617472,-1.6950209999999999,-1.129585,-1.307666,0.5822149999999999,0.45820200000000005,0.174217,1.1302590000000001,-0.41826800000000003,0.31953899999999996,-0.004374,0.5855060000000001,0.389042,-0.186196,0.140904,-0.0812254015576031
0.12,4,0.04,-0.454467,-0.773686,-0.6954319999999999,-1.8125509999999998,-1.02318,-1.360243,0.452798,0.214108,0.137719,0.888601,-0.395176,0.11058,-0.113227,0.608306,0.48271899999999995,-0.013177000000000001,0.369607,-0.08098487228467291
0.16,5,0.04,-0.5003810000000001,-0.7531720000000001,-0.664404,-1.7763759999999997,-1.1658540000000002,-1.294478,0.539669,0.33948,0.25446599999999997,1.006346,-0.016397,0.35171399999999997,0.11624200000000001,0.6511899999999999,0.5200520000000001,-0.23429299999999997,0.16783299999999998,-0.08074434301174273
0.2,6,0.04,-0.588638,-0.7980729999999999,-1.0435459999999999,-1.658466,-1.193646,-1.278089,0.473078,0.347762,0.29041100000000003,0.932099,-0.341769,0.19606400000000002,-0.040945,0.641213,0.43718999999999997,-0.14545999999999998,0.19805,-0.08050381373881253
0.24,7,0.04,-0.416185,-0.7292850000000001,-1.010186,-1.783404,-1.124072,-1.328432,0.44790100000000005,0.364491,0.554283,1.078915,-0.342945,0.140184,0.067696,0.674818,0.200963,-0.10210599999999999,0.073173,-0.08026328446588234
0.28,8,0.04,-0.40744600000000003,-0.759234,-0.990583,-1.767538,-1.195065,-1.428914,0.5716760000000001,0.351948,0.440571,0.9752,-0.317603,0.50866,0.016771,0.7274430000000001,0.340204,-0.17134000000000002,0.13803800000000002,-0.08002275519295214
0.32,9,0.04,0.025158,-0.736873,-1.080942,-1.773316,-1.178043,-1.241179,0.644781,0.508074,1.3211,0.8705510000000001,-0.53693,0.250243,0.229723,0.590575,0.44661999999999996,-0.272437,0.99305,-0.07978222592002195
0.36,10,0.04,-0.24162899999999998,-0.9681559999999999,-1.3804319999999999,-1.850815,-1.131359,-0.888541,0.37087600000000004,0.051569000000000004,0.876805,0.991767,-0.33647699999999997,0.196907,0.376911,0.361195,0.400395,-0.225343,2.091017,-0.07954169664709175
0.4,11,0.04,-0.14068,-0.816495,-1.212061,-1.6560259999999998,-1.178848,-0.9905219999999999,0.519992,0.30456,0.7387279999999999,1.020333,-0.19277,0.347571,0.18324200000000002,0.495795,0.286433,-0.14382999999999999,1.738839,-0.07930116737416155
0.44,12,0.04,0.065929,-0.776029,-1.258346,-1.6540560000000002,-1.162523,-1.057774,0.705162,0.441047,0.399832,0.969506,-0.14812999999999998,0.26091,0.227293,0.46354799999999996,0.35146900000000003,-0.326924,1.715682,-0.07906063810123136
0.48,13,0.04,-0.07139,-0.7797,-1.27501,-1.494513,-1.11764,-1.0101950000000002,0.557096,0.150844,0.602092,0.8952469999999999,-0.559638,0.171535,0.104426,0.452268,0.332961,-0.33741,1.255451,-0.07882010882830118
0.52,14,0.04,0.00020299999999999997,-0.747745,-1.4898850000000001,-1.573931,-1.069379,-1.032378,0.595209,0.18350999999999998,0.541062,0.879848,-0.584653,0.239729,0.18145999999999998,0.469437,0.348117,-0.30288200000000004,1.227485,-0.07857957955537098
0.56,15,0.04,0.062855,-0.760322,-0.803117,-1.584372,-1.077739,-1.128541,0.57602,0.178813,0.647195,0.634793,-0.33754,0.48172200000000004,0.146504,0.618973,0.516871,-0.188567,1.014653,-0.07833905028244079
0.6,16,0.04,-0.019812,-0.540229,-0.487184,-1.516249,-1.0102799999999998,-1.110398,0.445464,-0.070301,0.314031,0.8687469999999999,-0.46606800000000004,0.245563,0.09729199999999999,0.524555,0.512842,-0.01067,0.550505,-0.07809852100951059
0.64,17,0.04,0.227811,-0.612433,-0.570762,-1.530712,-1.148223,-1.3157459999999999,0.7561399999999999,0.258006,0.278978,0.9167709999999999,-0.437118,0.29173000000000004,0.257949,0.595024,0.35970599999999997,0.017950999999999998,0.47947,-0.0778579917365804
0.68,18,0.04,0.06356,-0.762686,-0.776455,-1.3605909999999999,-1.101241,-1.214918,0.650884,0.056922,0.27817800000000004,0.937509,-0.405238,0.22644099999999998,-0.030325,0.45586000000000004,0.28171999999999997,0.041652,0.22504899999999997,-0.0776174624636502
0.72,19,0.04,0.053961,-0.73842,-0.879293,-1.439175,-1.099469,-1.069153,0.566421,0.329007,0.13776300000000002,0.904552,-0.390778,0.1694,0.13877899999999999,0.526172,0.31361300000000003,0.081949,0.401656,-0.07737693319072
0.76,20,0.04,0.037511,-0.651636,-0.6526,-1.4155360000000001,-1.158251,-1.27544,0.8921190000000001,0.379658,0.480588,1.052406,-0.485282,0.465946,0.138696,0.431384,0.539154,-0.26918000000000003,0.238775,-0.07713640391778982
0.8,21,0.04,-0.009817,-0.7981060000000001,-0.561619,-1.7589540000000001,-1.182705,-1.1896790000000002,0.758973,0.341854,0.424678,0.879209,-0.194774,0.313219,0.236571,0.426354,0.500404,-0.056562,0.32743,-0.07689587464485963
0.84,22,0.04,-0.195037,-0.80462,-1.121011,-1.542697,-1.087098,-1.193652,0.582932,0.07539900000000001,0.662864,0.844899,-0.534613,0.37080100000000005,0.21591,0.34424899999999997,0.7425970000000001,-0.057988,0.431647,-0.07665534537192943
0.88,23,0.04,-0.11232400000000001,-0.715381,-0.9123479999999999,-1.62374,-1.043536,-1.153915,0.790485,0.24508000000000002,0.7322069999999999,0.886424,-0.345192,0.267243,0.26773600000000003,0.390984,0.5068520000000001,-0.224082,0.41757700000000003,-0.07641481609899924
