time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.074662,-0.8986799999999999,-0.09189299999999999,-1.265172,-0.701298,-2.6758669999999998,0.221505,0.236902,-0.6432899999999999,0.480288,0.24546700000000002,0.6589,0.362192,0.361111,1.5948879999999999,0.31651599999999996,0.518181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04509175632140361
0.04,2,0.04,0.029930000000000002,-1.079882,0.0033659999999999996,-1.359258,-0.682755,-2.7546009999999996,0.180105,0.199192,-0.34488800000000003,0.403393,0.311479,0.1128,-0.126935,0.445338,1.368874,0.53874,0.31907399999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04475516841616996
0.08,3,0.04,0.060277,-1.196843,-0.289209,-1.602614,-0.784402,-2.832194,0.35685500000000003,0.392835,-0.5031180000000001,0.408359,0.473083,0.570555,0.259676,0.399459,1.436577,0.405619,0.089185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0444185805109363
0.12,4,0.04,0.230359,-1.186915,-0.813559,-1.500167,-0.750492,-2.762668,0.26660900000000004,0.48285,-0.41336000000000006,0.449271,-0.07433200000000001,0.5896520000000001,0.23603200000000002,0.394503,1.495524,0.47227600000000003,0.384029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04408199260570265
0.16,5,0.04,0.22556700000000002,-1.132963,-0.383677,-1.9186869999999998,-0.807497,-2.777918,0.32829200000000003,0.375801,-0.08190800000000001,0.465999,0.5839489999999999,0.26945399999999997,0.143979,0.508556,1.627302,0.6273340000000001,0.393515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04374540470046899
0.2,6,0.04,0.147351,-0.9424239999999999,-0.03859,-1.597035,-0.66652,-2.722787,0.29175999999999996,0.157302,-0.559501,0.658957,0.38759299999999997,0.317338,0.098694,0.453502,1.408973,0.576849,0.735865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04340881679523534
0.24,7,0.04,0.174033,-1.028322,0.035382,-1.605543,-0.647489,-2.550036,0.491388,0.490857,0.044308,0.508592,-0.038591,0.7963720000000001,0.21758899999999998,0.514044,1.696182,0.711192,0.400565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.04307222889000168
0.28,8,0.04,0.24425700000000003,-1.025205,-0.078025,-1.4889729999999999,-0.6570819999999999,-2.710911,0.42213900000000004,-0.017241,-0.11309100000000001,0.584713,0.383616,0.767629,0.123503,0.511835,1.593442,0.561525,0.278461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04273564098476803
0.32,9,0.04,0.0037450000000000005,-1.020306,0.220651,-1.453003,-0.804755,-2.947939,0.492728,0.166674,-0.517414,0.705869,0.185258,0.369937,0.022696,0.42727299999999996,1.572322,0.358793,0.2835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04239905307953437
0.36,10,0.04,0.089715,-1.016483,0.11957000000000001,-1.076911,-0.6815939999999999,-2.657483,0.19387100000000002,0.28136,-0.5644319999999999,0.6746850000000001,0.44417700000000004,0.324071,-0.081165,0.41720100000000004,1.2304950000000001,0.345123,0.41163900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04206246517430072
