time,frame,time_since_last_entry,AU04_r,AU06_r,AU07_r,AU10_r,AU12_r,AU14_r,AU01_r,AU02_r,AU05_r,AU09_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU23_c,AU01_c,AU02_c,AU09_c,AU15_c,AU17_c,AU20_c,AU25_c,AU26_c,AU28_c,AU45_c,Borg10_Value
0.0,1,0.0,0.045627,0.12903699999999999,1.503991,-0.099063,-0.352459,-0.301183,0.434246,0.43593999999999994,0.354027,0.49453100000000005,0.17337,0.47091700000000003,0.31257399999999996,0.536927,0.5440229999999999,0.513423,0.6593829999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2851312899358821
0.04,2,0.04,-0.502506,0.5005930000000001,1.460329,0.342833,-0.374442,-0.059641999999999994,0.7646229999999999,1.215188,0.41889399999999993,0.21911799999999998,-0.133394,0.571381,1.138773,0.348646,0.748686,1.233802,0.8281379999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2852691544321034
0.08,3,0.04,-0.622067,0.470315,1.56264,0.456909,-0.250319,-0.030586000000000002,0.555305,0.518296,0.480679,0.330875,0.367346,0.9348639999999999,0.8703799999999999,0.601578,1.002003,1.1106120000000002,0.344546,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2854070189283247
0.12,4,0.04,-0.614302,0.442461,1.449139,0.347281,-0.271737,-0.09820599999999999,0.47545,0.601332,0.578318,0.254981,0.463743,0.896481,0.7043159999999999,0.639047,1.29653,1.042141,0.41727200000000003,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.285544883424546
0.16,5,0.04,-0.672686,0.425329,1.193517,0.14063699999999998,-0.43873,-0.537215,0.296564,0.835592,0.215533,0.48806700000000003,-0.18111,0.5559390000000001,0.527594,0.556384,0.929162,0.312554,0.8512700000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2856827479207673
0.2,6,0.04,-0.600642,0.36015,1.578757,0.34126999999999996,-0.282794,0.6585850000000001,0.23007600000000003,0.456647,0.322585,0.32606199999999996,-0.018029,0.634782,0.329497,0.68589,0.425634,0.570814,0.6150100000000001,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858206124169886
0.24,7,0.04,-0.806459,0.6662359999999999,1.6553919999999998,0.876189,-0.167278,0.724638,0.155337,0.214754,0.117058,0.350461,-0.049714,0.745304,0.542305,0.838511,0.48678,0.525628,0.6755439999999999,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859584769132099
0.28,8,0.04,-0.774579,0.64844,1.8860299999999999,0.839817,-0.169037,0.6643439999999999,0.245202,0.20665799999999998,0.45028199999999996,0.33511399999999997,-0.126394,0.519211,0.32512800000000003,0.862848,0.5105689999999999,0.67638,0.587916,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860963414094312
0.32,9,0.04,-0.914076,0.37188499999999997,1.144126,1.015116,-0.321664,1.2624959999999998,0.20698899999999998,0.055023,0.115158,0.433058,0.13527999999999998,0.406431,0.7378600000000001,0.737517,0.8393579999999999,1.0029620000000001,0.8729299999999999,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2862342059056525
0.36,10,0.04,-0.807474,0.35209,0.8988200000000001,1.0308979999999999,-0.345893,1.190283,0.306359,0.293817,0.182078,0.38240799999999997,-0.154169,0.47033100000000005,0.6284270000000001,0.841727,0.851457,0.852664,0.814348,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863720704018738
